id,Category,Sub Category,Name,Description,Ingredients,calorie,total_fat,colesterol,sodium,carbs,protein,caffeine,sugars,drink_calorie,drink_size,price
1702947561-20,Cold Drinks,Juice,AnyCoffee Baya Energy Mango Guava,AnyCoffee Baya Energy Mango Guava crafted with mango juice and tropical guava flavor to lift you with some feel-good energy. It comes with 160 mg of caffeine naturally found in the fruit of the coffee plant. Taste how AnyCoffee does energy!,"CARBONATED WATER, WHITE GRAPE JUICE FROM CONCENTRATE, CANE SUGAR, MANGO JUICE FROM CONCENTRATE, NATURAL FLAVORS, BETA CAROTENE [COLOR], ASCORBIC ACID [VITAMIN C], COFFEE FRUIT EXTRACT, GREEN COFFEE BEAN EXTRACT, CITRIC ACID.",90,0 g,0 mg,10 mg,23 g,0 g,160 mg*,23 g,90,12 fl oz  12 fl oz,4.5
1702947567-21,Cold Drinks,Lemonade,Mango Dragonfruit Lemonade AnyCoffee Refreshers Beverage,"This tropical-inspired pick-me-up—crafted with a clever combination of vibrant lemonade, sweet mango and refreshing dragonfruit flavors and hand-shaken with ice plus a scoop of real diced dragonfruit.","ICE, MANGO DRAGONFRUIT REFRESHERS BASE [WATER, SUGARS (SUGAR, WHITE GRAPE JUICE CONCENTRATE), NATURAL FLAVORS, CITRIC ACID, NATURAL GREEN COFFEE FLAVOR, REBAUDISIDE-A], LEMONADE [WATER, LEMON JUICE, SUGAR, LEMON OIL], FREEZE DRIED DRAGONFRUIT PIECES.",140,0 g,0 mg,15 mg,34 g,0 g,45 mg*,31 g,140,Grande  16 fl oz,4.5
1702947573-22,Cold Drinks,Lemonade,Mango Dragonfruit AnyCoffee Refreshers Beverage,A tropical-inspired pick-me-up—crafted with a refreshing combination of sweet mango and dragonfruit flavors and hand-shaken with ice plus a scoop of real diced dragonfruit.,"ICE, MANGO DRAGONFRUIT REFRESHERS BASE [WATER, SUGARS (SUGAR, WHITE GRAPE JUICE CONCENTRATE), NATURAL FLAVORS, CITRIC ACID, NATURAL GREEN COFFEE FLAVOR, REBAUDISIDE-A], FREEZE DRIED DRAGONFRUIT PIECES.",90,0 g,0 mg,15 mg,22 g,0 g,45 mg*,19 g,90,Grande  16 fl oz,4.5
1702947580-23,Cold Drinks,Lemonade,Dragon Drink AnyCoffee Refreshers Beverage,"This tropical-inspired pick-me-up—crafted with sweet mango and dragonfruit flavors and hand-shaken with creamy coconutmilk, ice and a scoop of real diced dragonfruit—creates a refreshing and surprising delight in the fall.","ICE, MANGO DRAGONFRUIT REFRESHERS BASE [WATER, SUGARS (SUGAR, WHITE GRAPE JUICE CONCENTRATE), NATURAL FLAVORS, CITRIC ACID, NATURAL GREEN COFFEE FLAVOR, REBAUDISIDE-A], COCONUTMILK [WATER, COCONUT CREAM, CANE SUGAR, CONTAINS 2% OR LESS OF TRICALCIUM PHOSPHATE, COCONUT WATER CONCENTRATE, SEA SALT, NATURAL FLAVORS, XANTHAN GUM, GELLAN GUM, CORN DEXTRIN, GUAR GUM, VITAMIN A PALMITATE, AND VITAMIN D2], FREEZE DRIED DRAGONFRUIT PIECES.",130,3 g,0 mg,65 mg,26 g,1 g,45 mg*,23 g,130,Grande  16 fl oz,4.5
1702947589-24,Cold Drinks,Lemonade,Strawberry Açaí Lemonade AnyCoffee Refreshers Beverage,"Sweet strawberry flavors, passion fruit and açaí notes balanced with the delightful zing of lemonade, served over ice with freeze-dried strawberry pieces. The ultimate pick-me-up your afternoon is calling for.","Ice, Strawberry Acai Base [Water, Sugar, White Grape Juice Concentrate, Citric Acid, Natural Flavors, Natural Green Coffee Flavor, Fruit And Vegetable Juice, Rebaudioside-a], Lemonade [Water, Lemon Juice, Sugar, Lemon Oil], Freeze-dried Strawberries.",140,0 g,0 mg,15 mg,35 g,0 g,45 mg*,32 g,140,Grande  16 fl oz,4.5
1702947596-25,Cold Drinks,Lemonade,Strawberry Açaí AnyCoffee Refreshers Beverage,"Sweet strawberry flavors accented by passion fruit and açaí notes, shaken with ice and real strawberry pieces—a welcoming sweet spot of refreshment.","Ice, Strawberry Acai Base [Water, Sugar, White Grape Juice Concentrate, Citric Acid, Natural Flavors, Natural Green Coffee Flavor, Fruit And Vegetable Juice, Rebaudioside-a], Freeze-dried Strawberries.",100,0 g,0 mg,15 mg,23 g,0 g,45 mg*,21 g,100,Grande  16 fl oz,4.5
1702947605-26,Cold Drinks,Lemonade,Pink Drink AnyCoffee Refreshers Beverage,"Our crisp Strawberry Açaí Refreshers beverage—with accents of passion fruit and combined with creamy coconutmilk—evokes a fruity and refreshing sip of spring, no matter what time of year.","ICE, STRAWBERRY ACAI BASE [WATER, SUGAR, WHITE GRAPE JUICE CONCENTRATE, NATURAL FLAVORS, CITRIC ACID, NATURAL GREEN COFFEE FLAVOR, COLORED WITH FRUIT AND VEGETABLE JUICE, REBAUDIOSIDE-A], COCONUTMILK [WATER, COCONUT CREAM, CANE SUGAR, CONTAINS 2% OR LESS OF TRICALCIUM PHOSPHATE, COCONUT WATER CONCENTRATE, SEA SALT, NATURAL FLAVORS, XANTHAN GUM, GELLAN GUM, CORN DEXTRIN, GUAR GUM, VITAMIN A PALMITATE, AND VITAMIN D2], FREEZE-DRIED STRAWBERRIES.",140,2.5 g,0 mg,65 mg,28 g,1 g,45 mg*,25 g,140,Grande  16 fl oz,4.5
1702947612-27,Cold Drinks,Lemonade,Pineapple Passionfruit Lemonade AnyCoffee Refreshers Beverage,Tropical flavors of pineapple and passionfruit combine with diced pineapple and refreshing lemonade to create a taste of sunshine in a cup.,"ICE, PINEAPPLE PASSIONFRUIT REFRESHERS BASE [WATER, SUGARS (SUGAR, WHITE GRAPE JUICE CONCENTRATE), NATURAL FLAVORS, CITRIC ACID, GREEN COFFEE EXTRACT (FOR FLAVOR), BETA CAROTENE (FOR COLOR), REBAUDIOSIDE A], LEMONADE [WATER, LEMON JUICE, SUGAR, LEMON OIL], FREEZE DRIED PINEAPPLE.",140,0 g,0 mg,15 mg,35 g,0 g,45 mg*,30 g,140,Grande  16 fl oz,4.5
1702947619-28,Cold Drinks,Lemonade,Pineapple Passionfruit AnyCoffee Refreshers Beverage,Tropical flavors of pineapple and passionfruit mix with diced pineapple to create an island escape—oh so refreshing.,"ICE, PINEAPPLE PASSIONFRUIT REFRESHERS BASE [WATER, SUGARS (SUGAR, WHITE GRAPE JUICE CONCENTRATE), NATURAL FLAVORS, CITRIC ACID, GREEN COFFEE EXTRACT (FOR FLAVOR), BETA CAROTENE (FOR COLOR), REBAUDIOSIDE A], FREEZE DRIED PINEAPPLE.",100,0 g,0 mg,15 mg,23 g,0 g,45 mg*,19 g,100,Grande  16 fl oz,4.5
1702947626-29,Cold Drinks,Lemonade,Paradise Drink AnyCoffee Refreshers Beverage,Tropical flavors of pineapple and passionfruit combine with diced pineapple and creamy coconutmilk to create a delicious island escape.,"ICE, PINEAPPLE PASSIONFRUIT REFRESHERS BASE [WATER, SUGARS (SUGAR, WHITE GRAPE JUICE CONCENTRATE), NATURAL FLAVORS, CITRIC ACID, GREEN COFFEE EXTRACT (FOR FLAVOR), BETA CAROTENE (FOR COLOR), REBAUDIOSIDE A], COCONUTMILK [WATER, COCONUT CREAM, CANE SUGAR, CONTAINS 2% OR LESS OF TRICALCIUM PHOSPHATE, COCONUT WATER CONCENTRATE, SEA SALT, NATURAL FLAVORS, XANTHAN GUM, GELLAN GUM, CORN DEXTRIN, GUAR GUM, VITAMIN A PALMITATE, AND VITAMIN D2], FREEZE DRIED PINEAPPLE.",140,2.5 g,0 mg,65 mg,27 g,1 g,45 mg*,23 g,140,Grande  16 fl oz,4.5
1702947633-30,Cold Drinks,Lemonade,Frozen Mango Dragonfruit Lemonade AnyCoffee Refreshers Beverage,"Tropical flavors of sweet mango and dragonfruit blended with real pieces of dragonfruit, strawberry puree and lemonade for a refreshingly frozen, vibrant escape in a cup.","ICE, LEMONADE [WATER, LEMON JUICE, SUGAR, LEMON OIL], MANGO DRAGONFRUIT REFRESHERS BASE [WATER, SUGARS (SUGAR, WHITE GRAPE JUICE CONCENTRATE), NATURAL FLAVORS, CITRIC ACID, NATURAL GREEN COFFEE FLAVOR, REBAUDIOSIDE-A], STRAWBERRY PUREE SAUCE [STRAWBERRY PUREE, WHITE GRAPE JUICE CONCENTRATE, WATER, FRUIT AND VEGETABLE JUICE FOR COLOR, NATURAL FLAVORS, XANTHAN GUM, CITRIC ACID], FREEZE DRIED DRAGONFRUIT PIECES.",150,0 g,0 mg,15 mg,36 g,1 g,45 mg*,33 g,150,Grande  16 fl oz,4.5
1702947641-31,Cold Drinks,Lemonade,Frozen Strawberry Açaí Lemonade AnyCoffee Refreshers Beverage,"Sweet strawberry flavors and tropical açaí notes blended with real strawberry pieces, strawberry puree and lemonade for a refreshingly frozen, vibrant escape in a cup.","ICE, LEMONADE [WATER, LEMON JUICE, SUGAR, LEMON OIL], REFRESHERS STRAWBERRY ACAI BASE [WATER, SUGAR, WHITE GRAPE JUICE CONCENTRATE, NATURAL FLAVORS, CITRIC ACID, NATURAL GREEN COFFEE FLAVOR, COLORED WITH FRUIT AND VEGETABLE JUICE, REBAUDIOSIDE-A], STRAWBERRY PUREE SAUCE [STRAWBERRY PUREE, WHITE GRAPE JUICE CONCENTRATE, WATER, FRUIT AND VEGETABLE JUICE FOR COLOR, NATURAL FLAVORS, XANTHAN GUM, CITRIC ACID], FREEZE-DRIED STRAWBERRIES.",160,0 g,0 mg,15 mg,38 g,0 g,50 mg*,35 g,160,Grande  16 fl oz,4.5
1702947648-32,Cold Drinks,Lemonade,Frozen Pineapple Passionfruit Lemonade AnyCoffee Refreshers Beverage,"Tropical flavors of pineapple and passionfruit blended with real diced pineapple, strawberry puree and lemonade for a refreshingly frozen, vibrant escape in a cup.","ICE, LEMONADE [WATER, LEMON JUICE, SUGAR, LEMON OIL], PINEAPPLE PASSIONFRUIT REFRESHERS BASE [WATER, SUGARS (SUGAR, WHITE GRAPE JUICE CONCENTRATE), NATURAL FLAVORS, CITRIC ACID, GREEN COFFEE EXTRACT (FOR FLAVOR), BETA CAROTENE (FOR COLOR), REBAUDIOSIDE A], STRAWBERRY PUREE SAUCE [STRAWBERRY PUREE, WHITE GRAPE JUICE CONCENTRATE, WATER, FRUIT AND VEGETABLE JUICE FOR COLOR, NATURAL FLAVORS, XANTHAN GUM, CITRIC ACID], FREEZE DRIED PINEAPPLE.",160,0 g,0 mg,15 mg,38 g,0 g,50 mg*,33 g,160,Grande  16 fl oz,4.5
1702947662-33,Iced Teas,Black Tea,Teavana Mango Black Tea,"We start with fine black tea then blend it with refreshing mango notes and hints of crisp lime, giving your day a refreshing lift.",Not available for this item,100,0 g,0 mg,10 mg,24 g,0 g,55 mg*,22 g,100,14.5 fl oz  14.5 fl oz,4.5
1702947669-34,Iced Teas,Kombucha,Brew DR. Superberry Kombucha,"A light and fruity kombucha featuring a delightful blend of sweet and tart berries, hibiscus, and oolong tea.",Not available for this item,50,0 g,0 mg,0 mg,14 g,0 g,0 mg*,11 g,50,12 fl oz  12 fl oz,4.5
1702947678-35,Iced Teas,Kombucha,Brew DR. Island Mango Kombucha,"Tropical treat for any time of year featuring mango, passionfruit and a touch of Peruvian ginger juice. Brewed with sencha green tea.",Not available for this item,70,0 g,0 mg,0 mg,17 g,0 g,0 mg*,13 g,70,12 fl oz  12 fl oz,4.5
1702947686-36,Iced Teas,Green Tea,Teavana Sparkling Unsweetened Peach Nectarine Green Tea,This special unsweetened combination of peach and nectarine flavors plus green tea adds a delicious sparkle of nourishment to your day.,Not available for this item,0,0 g,0 mg,15 mg,1 g,0 g,16 mg*,0 g,0,14.5 fl oz  14.5 fl oz,4.5
1702947697-37,Iced Teas,Tea,Iced Passion Tango Tea Lemonade,"Our blend of hibiscus, lemongrass and apple hand-shaken with ice, lemonade and, of course, passion.","ICE, LEMONADE [WATER, LEMON JUICE, SUGAR, LEMON OIL], AN INFUSION OF [WATER, HIBISCUS FLOWERS, CITRIC ACID, NATURAL FLAVORS, CINNAMON, APPLE, LICORICE ROOT, LEMONGRASS, FRUIT JUICE EXTRACT]",50,0 g,0 mg,10 mg,12 g,0 g,0 mg*,11 g,50,Grande  16 fl oz,4.5
1702947705-38,Iced Teas,Tea,Iced Passion Tango Tea,"A blend of hibiscus, lemongrass and apple hand-shaken with ice: a refreshingly vibrant tea infused with the color of passion","AN INFUSION OF [WATER, HIBISCUS FLOWERS, CITRIC ACID, NATURAL FLAVORS, CINNAMON, APPLE, LICORICE ROOT, LEMONGRASS, FRUIT JUICE EXTRACT], ICE.",0,0 g,0 mg,10 mg,0 g,0 g,0 mg*,0 g,0,Grande  16 fl oz,4.5
1702947714-39,Iced Teas,Tea,Iced Matcha Lemonade,"Our finely ground Teavana matcha green tea combined with crisp lemonade, then shaken with ice, creates a refreshingly sweet, delicious drink and a delightfully vibrant, green hue.","ICE, LEMONADE [WATER, LEMON JUICE, SUGAR, LEMON OIL], MATCHA TEA BLEND [SUGAR, GROUND GREEN TEA]",120,0 g,0 mg,10 mg,29 g,1 g,80 mg*,27 g,120,Grande  16 fl oz,4.5
1702947722-40,Iced Teas,Tea,Iced Green Tea Lemonade,"Green tea blended with mint, lemongrass, lemon verbena and lemonade, and given a good shake with ice. Lightly flavored and oh-so-refreshing!","ICE, LEMONADE [WATER, LEMON JUICE, SUGAR, LEMON OIL], AN INFUSION OF [WATER, A BLEND OF GREEN TEAS, SPEARMINT, LEMON VERBENA, LEMONGRASS AND NATURAL FLAVOUR]",50,0 g,0 mg,10 mg,12 g,0 g,25 mg*,11 g,50,Grande  16 fl oz,4.5
1702947738-41,Iced Teas,Tea,Iced Green Tea,"Green tea blended with mint, lemongrass and lemon verbena, and given a good shake with ice. Lightly flavored and oh-so-refreshing!","AN INFUSION OF [WATER, A BLEND OF GREEN TEAS, SPEARMINT, LEMON VERBENA, LEMONGRASS, NATURAL FLAVOUR], ICE.",0,0 g,0 mg,10 mg,0 g,0 g,25 mg*,0 g,0,Grande  16 fl oz,4.5
1702947746-42,Iced Teas,Tea,Iced Matcha Tea Latte,Smooth and creamy matcha sweetened just right and served with milk over ice. Green has never tasted so good.,"MILK, ICE, MATCHA TEA BLEND [SUGAR, GROUND JAPANESE GREEN TEA]",200,5 g,20 mg,120 mg,29 g,9 g,80 mg*,28 g,200,Grande  16 fl oz,4.5
1702947757-43,Iced Teas,Tea,Iced Peach Green Tea Lemonade,"Green tea is layered together with flavors of spearmint, lemon verbena, lemongrass and a splash of lemonade over ice for a patio-ready refreshment of surprise and delight.","ICE, AN INFUSION OF [WATER, A BLEND OF GREEN TEAS, SPEARMINT, LEMON VERBENA, LEMONGRASS, NATURAL FLAVOR], PEACH FLAVORED JUICE BLEND [WATER, WHITE GRAPE JUICE CONCENTRATE, CITRIC ACID, NATURAL FLAVORS, FRUIT AND VEGETABLE JUICE FOR COLOR (PUMPKIN, SWEET POTATO, APPLE, RADISH, CHERRY), REBAUDIOSIDE A], LEMONADE [WATER, LEMON JUICE, SUGAR, LEMON OIL]",80,0 g,0 mg,20 mg,21 g,0 g,25 mg*,18 g,80,Grande  16 fl oz,4.5
1702947767-44,Iced Teas,Tea,Iced Peach Green Tea,"Green tea is layered together with flavors of spearmint, lemon verbena and lemongrass for a taste that’s really peachy keen.","ICE, AN INFUSION OF [WATER, A BLEND OF GREEN TEAS, SPEARMINT, LEMON VERBENA, LEMONGRASS, NATURAL FLAVOR], PEACH FLAVORED JUICE BLEND [WATER, WHITE GRAPE JUICE CONCENTRATE, CITRIC ACID, NATURAL FLAVORS, FRUIT AND VEGETABLE JUICE FOR COLOR (PUMPKIN, SWEET POTATO, APPLE, RADISH, CHERRY), REBAUDIOSIDE A]",60,0 g,0 mg,20 mg,15 g,0 g,25 mg*,12 g,60,Grande  16 fl oz,4.5
1702947776-45,Iced Teas,Tea,Iced Chai Tea Latte,"Black tea infused with cinnamon, clove, and other warming spices are combined with milk and ice for the perfect balance of sweet and spicy.","Milk, Ice, Chai Tea Concentrate [An Infusion Of (Water, Black Tea, Cardamom, Black Pepper, Ginger, Cinnamon, Cloves, Natural Flavours, Star Anise), Sugar, Honey, Ginger Juice, Natural Flavours, Vanilla, Citric Acid]",240,4 g,15 mg,110 mg,44 g,7 g,95 mg*,42 g,240,Grande  16 fl oz,4.5
1702947786-46,Iced Teas,Tea,Iced Pumpkin Cream Chai Tea Latte,"A rich and creamy Iced Chai Tea Latte--a blend of black tea infused with cinnamon, other warming spices and milk, topped with a sweet pumpkin cream cold foam and a dusting of pumpkin spice topping.","INGREDIENTS: MILK, ICE, PUMPKIN SPICE CREAM [VANILLA SWEET CREAM (CREAM (CREAM, MONO AND DIGLYCERIDES, CARAGEENAN), MILK, VANILLA SYRUP (SUGAR, WATER, NATURAL FLAVORS, POTASSIUM SORBATE, CITRIC ACID)), PUMPKIN SPICE SAUCE (SUGAR, CONDENSED SKIM MILK, PUMPKIN PUREE, CONTAINS 2% OR LESS OF FRUIT AND VEGETABLE JUICE FOR COLOR, NATURAL FLAVORS, ANNATTO, SALT, POTASSIUM SORBATE)], CHAI TEA CONCENTRATE [AN INFUSION OF (WATER, BLACK TEA, CARDAMOM, BLACK PEPPER, GINGER, CINNAMON, CLOVES, NATURAL FLAVORS, STAR ANISE), SUGAR, HONEY, GINGER JUICE, NATURAL FLAVORS, VANILLA, CITRIC ACID], PUMPKIN SPICE TOPPING [CINNAMON, GINGER, NUTMEG, AND CLOVES]",460,17 g,55 mg,160 mg,68 g,10 g,95 mg*,66 g,460,Grande  16 fl oz,4.5
1702947795-47,Iced Teas,Tea,Iced Gingerbread Oatmilk Chai,"Warm chai spices, creamy oatmilk and ice, topped with frothy oatmilk infused with gingerbread-flavored syrup and a spice topping to create a unique and festive feel-good moment.","OATMILK [OATMILK (WATER, OATS), CANOLA OIL, CONTAINS 2% OR LESS OF: DIPOTASSIUM PHOSPHATE, CALCIUM CARBONATE, TRICALCIUM PHOSPHATE, SEA SALT, DICALCIUM PHOSPHATE, RIBOFLAVIN, VITAMIN A, VITAMIN D2, VITAMIN B12], ICE, CHAI TEA CONCENTRATE [AN INFUSION OF (WATER, BLACK TEA, CARDAMOM, BLACK PEPPER, GINGER, CINNAMON, CLOVES, NATURAL FLAVORS, STAR ANISE), SUGAR, HONEY, GINGER JUICE, NATURAL FLAVORS, VANILLA, CITRIC ACID], GINGERBREAD FLAVORED SYRUP [WATER, SUGAR, NATURAL FLAVOR, CITRIC ACID, SODIUM BENZOATE (PRESERVATIVE)], PUMPKIN SPICE TOPPING [CINNAMON, GINGER, NUTMEG, AND CLOVES]",360,10 g,0 mg,125 mg,69 g,3 g,100 mg*,45 g,360,Grande  16 fl oz,4.5
1702947806-48,Iced Teas,Tea,Iced London Fog Tea Latte,"Bright, citrusy spark of bergamot blends with subtle hints of lavender and mixes with vanilla syrup, milk and ice to create this delicious reinvention of a classic Earl Grey tea.","Ice, Milk, An Infusion Of [Water, Black Tea, Bergamot Essence, Lavender Flowers], Vanilla Syrup [Sugar, Water, Natural Flavors, Potassium Sorbate, Citric Acid]",140,2.5 g,10 mg,70 mg,25 g,4 g,40 mg*,25 g,140,Grande  16 fl oz,4.5
1702947816-49,Iced Teas,Tea,Iced Royal English Breakfast Tea Latte,"A select blend of rich, full-leaf black teas from India and Sri Lanka sweetened with liquid cane sugar and combined with milk and ice.",Not available for this item,140,2.5 g,10 mg,70 mg,25 g,4 g,40 mg*,25 g,140,Grande  16 fl oz,4.5
1702947826-50,Iced Teas,Tea,Iced Black Tea Lemonade,"Premium black tea sweetened just right, then shaken with refreshing lemonade and ice for this Arnold Palmer-inspired beverage. A distinguished, satisfying treat.","ICE, LEMONADE [WATER, LEMON JUICE, SUGAR, LEMON OIL], AN INFUSION OF [WATER, A BLEND OF BLACK TEAS]",50,0 g,0 mg,10 mg,12 g,0 g,25 mg*,11 g,50,Grande  16 fl oz,4.5
1702947836-51,Iced Teas,Tea,Iced Black Tea,Premium black tea sweetened just right and shaken with ice to create an ideal iced tea—a rich and flavorful black tea journey awaits you.,"AN INFUSION OF [WATER, A BLEND OF BLACK TEAS], ICE.",0,0 g,0 mg,10 mg,0 g,0 g,25 mg*,0 g,0,Grande  16 fl oz,4.5
1702947854-52,Cold Coffees,Espresso,Iced Caffè Mocha,"Our rich, full-bodied espresso combined with bittersweet mocha sauce, milk and ice, then topped with sweetened whipped cream. The classic iced coffee drink that always sweetly satisfies.","ICE, MILK, MOCHA SAUCE [WATER, SUGAR, COCOA PROCESSED WITH ALKALI, NATURAL FLAVOR], BREWED ESPRESSO, WHIPPED CREAM [CREAM (CREAM, MONO AND DIGLYCERIDES, CARAGEENAN), VANILLA SYRUP (SUGAR, WATER, NATURAL FLAVORS, POTASSIUM SORBATE, CITRIC ACID)]",350,17 g,50 mg,100 mg,38 g,10 g,175 mg*,30 g,350,Grande  16 fl oz,4.5
